fold,familiarity,HR,model familiarity,
1,unfamiliar,0.604166667,familiar,0.659236719
2,unfamiliar,0.784615385,familiar,
3,unfamiliar,0.815934066,familiar,
4,unfamiliar,0.375,familiar,
5,unfamiliar,0.545454545,familiar,
6,unfamiliar,0.8,familiar,
7,unfamiliar,0.75,familiar,
8,unfamiliar,0.728571429,familiar,
9,unfamiliar,0.781746032,familiar,
10,unfamiliar,0.665865385,familiar,
11,unfamiliar,0.708333333,familiar,
12,unfamiliar,0.8,familiar,
13,unfamiliar,0.584848485,familiar,
14,unfamiliar,0.364285714,familiar,
15,unfamiliar,0.700854701,familiar,
16,unfamiliar,0.718181818,familiar,
17,unfamiliar,0.479166667,familiar,
1,unfamiliar,0.4375,unfamiliar,0.785919962
2,unfamiliar,0.873076923,unfamiliar,
3,unfamiliar,0.928571429,unfamiliar,
4,unfamiliar,0.8125,unfamiliar,
5,unfamiliar,0.909090909,unfamiliar,
6,unfamiliar,0.8,unfamiliar,
7,unfamiliar,0.875,unfamiliar,
8,unfamiliar,0.878571429,unfamiliar,
9,unfamiliar,0.781746032,unfamiliar,
10,unfamiliar,0.860576923,unfamiliar,
11,unfamiliar,0.805555556,unfamiliar,
12,unfamiliar,0.6,unfamiliar,
13,unfamiliar,0.854545455,unfamiliar,
14,unfamiliar,0.707142857,unfamiliar,
15,unfamiliar,0.773504274,unfamiliar,
16,unfamiliar,0.859090909,unfamiliar,
17,unfamiliar,0.604166667,unfamiliar,